"id"	"course_number"	"grade"	"school_name"	"sy"
1	"MATH111"	"D   "	"Mercury MS"	"01SUM"
1	"ENG111"	"C   "	"Mercury MS"	"01SUM"
1	"SCI111"	"C-   "	"Mercury MS"	"01SUM"
1	"ART111"	"D+   "	"Mercury MS"	"01SUM"
4	"MATH111"	"A        "	"Mercury MS"	"01SUM"
4	"ENG111"	"B   "	"Mercury MS"	"01SUM"
4	"SCI111"	"B+   "	"Mercury MS"	"01SUM"
4	"ART111"	"B   "	"Mercury MS"	"01SUM"
5	"MATH111"	"B   "	"Mercury MS"	"01SUM"
5	"ENG111"	"B   "	"Mercury MS"	"01SUM"
5	"SCI111"	"B+   "	"Mercury MS"	"01SUM"
5	"ART111"	"B   "	"Mercury MS"	"01SUM"
6	"MATH111"	"A   "	"Mercury MS"	"01SUM"
6	"ENG111"	"A-__   "	"Mercury MS"	"01SUM"
6	"SCI111"	"A+   "	"Mercury MS"	"01SUM"
6	"ART111"	"A   "	"Mercury MS"	"01SUM"
7	"MATH111"	"B   "	"Mercury MS"	"01SUM"
7	"ENG111"	"A+   "	"Mercury MS"	"01SUM"
7	"SCI111"	"A+   "	"Mercury MS"	"01SUM"
7	"ART111"	"A   "	"Mercury MS"	"01SUM"
8	"MATH111"	"A+   "	"Mercury MS"	"01SUM"
8	"ENG111"	"A   "	"Mercury MS"	"01SUM"
8	"SCI111"	"B+   "	"Mercury MS"	"01SUM"
8	"ART111"	"B+   "	"Mercury MS"	"01SUM"
9	"MATH111"	"D   "	"Mercury MS"	"01SUM"
9	"ENG111"	"Cplus   "	"Mercury MS"	"01SUM"
9	"SCI111"	"D+   "	"Mercury MS"	"01SUM"
9	"ART111"	"C   "	"Mercury MS"	"01SUM"
10	"MATH111"	"A        "	"Mercury MS"	"01SUM"
10	"ENG111"	"A   "	"Mercury MS"	"01SUM"
10	"SCI111"	"A+   "	"Mercury MS"	"01SUM"
10	"ART111"	"Cplus   "	"Mercury MS"	"01SUM"
11	"MATH111"	"D+   "	"Mercury MS"	"01SUM"
11	"ENG111"	"D-   "	"Mercury MS"	"01SUM"
11	"SCI111"	"A        "	"Mercury MS"	"01SUM"
11	"ART111"	"F   "	"Mercury MS"	"01SUM"
12	"MATH111"	"C-   "	"Mercury MS"	"01SUM"
